Time after 2pm (min),Temp (C),Positon above bottom (cm),Rate (cm/min),Temp Gradient (C/cm),Corrected Time (min),Corrected Position (cm)
0,232.7,0,0.25,43.44,0,0
5,287,1.25,,78.4,5,1.25
10,385,2.5,,102.64,10,2.5
15,513.3,3.75,,73.76,15,3.75
20,605.5,5,,56,20,5
25,675.5,6.25,,43.12,25,6.25
30,729.4,7.5,,39.68,30,7.5
35,779,8.75,,6.48,35,8.75
40,787.1,10,,2.8,36,9
45,790.6,11.25,,4.4,36,9
50,796.1,12.5,,2.16,36,9
55,798.8,13.75,,0.96,36,9
60,800,15,,0,36,9
65,800,16.25,,0,36,9
70,800,17.5,,0,36,9
75,800,18.75,,0.88,36,9
80,801.1,20,,0.32,36,9
85,801.5,21.25,,22.32,36,9
90,829.4,22.5,,29.92,41,10.25
95,866.8,23.75,,24.48,46,11.5
100,897.4,25,,21.6,51,12.75
105,924.4,26.25,,19.6,56,14
110,948.9,27.5,,16.08,61,15.25
115,969,28.75,,13.68,66,16.5
120,986.1,30,,11.12,71,17.75
,1000,,,8.8,76,19
,1011,,,7.2,81,20.25
,1020,,,4.8,86,21.5
,1026,,,2.4,91,22.75
,1029,,,-0.8,96,24
,1028,,,-1.6,101,25.25
,1026,,,-3.2,106,26.5
,1022,,,0,111,27.75
,1022,,,0,116,29
,1022,,,,,